Imagem,Resistencia
Resistor_1.png,1000000
Resistor_2.png,10000
Resistor_3.png,82000
Resistor_4.png,47000
Resistor_5.png,470000
Resistor_6.png,220
Resistor_7.png,4700
Resistor_8.png,220000
Resistor_9.png,100000
Resistor_10.png,330000
Resistor_11.png,4700
Resistor_12.png,15000
Resistor_13.png,15000
Resistor_14.png,10000000
Resistor_15.png,68000
Resistor_16.png,1000000
Resistor_17.png,10000
Resistor_18.png,220
Resistor_19.png,1000000
Resistor_20.png,470000
Resistor_21.png,220
Resistor_22.png,330
Resistor_23.png,68000
Resistor_24.png,10000000
Resistor_25.png,1500
Resistor_26.png,1000000
Resistor_27.png,15000
Resistor_28.png,220
Resistor_29.png,100000
Resistor_30.png,15000
Resistor_31.png,10000
Resistor_32.png,68000
Resistor_33.png,68000
Resistor_34.png,82000
Resistor_35.png,82000
Resistor_36.png,100000
Resistor_37.png,47000
Resistor_38.png,4700
Resistor_39.png,100000
Resistor_40.png,47000
Resistor_41.png,470000
Resistor_42.png,470000
Resistor_43.png,1000000
Resistor_44.png,68000
Resistor_45.png,10000
Resistor_46.png,68000
Resistor_47.png,68000
Resistor_48.png,1000000
Resistor_49.png,1000000
Resistor_50.png,100000
Resistor_51.png,100000
Resistor_52.png,10000000
Resistor_53.png,10000000
Resistor_54.png,1500
Resistor_55.png,470000
Resistor_56.png,470000
Resistor_57.png,1000000
Resistor_58.png,47000
